ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
40;10.9;-17.8;7.04;4.45;Pozitivno;Da
41;8.1;-34.5;6.72;4.24;Pozitivno;Da
42;11.2;-12.8;7.06;4.14;Pozitivno;Da
43;8.6;-19.4;7.08;5.2;Pozitivno;Ne
44;7.6;-22.3;7.07;4.66;Pozitivno;Da
45;11.8;-23.9;7.13;4.83;Pozitivno;Ne
46;11.1;-18.4;6.8;5.39;Pozitivno;Da
47;10.8;-17.8;6.76;5.51;Pozitivno;Da
48;9.8;-12.7;7.14;4.98;Pozitivno;Ne
49;13.7;-14.1;7.26;4.72;Pozitivno;Da
50;10.8;-27.3;6.96;4.93;Pozitivno;Da
51;11.4;-18.9;7.51;5.56;Pozitivno;Ne
52;13.1;-20.0;6.99;4.86;Pozitivno;Da
53;6.2;-16.9;7.37;5.51;Pozitivno;Da
54;12.1;-16.5;6.6;5.77;Pozitivno;Da
55;11.4;-20.1;6.62;5.09;Pozitivno;Ne
56;10.2;-15.5;7.32;5.8;Pozitivno;Da
57;8.8;-15.1;7.44;4.28;Pozitivno;Ne
58;10.6;-17.2;7.01;5.38;Negativno;Da
59;11.7;-20.4;7.24;4.64;Pozitivno;Ne
60;10.8;-24.1;7.06;5.18;Pozitivno;Da
61;8.4;-19.5;7.27;4.84;Pozitivno;Da
62;13.5;-17.7;7.2;4.61;Pozitivno;Da
63;9.9;-23.6;7.34;5.64;Pozitivno;Da
64;8.4;-22.6;6.76;5.76;Pozitivno;Ne
65;7.1;-16.3;7.37;4.67;Pozitivno;Da
66;7.0;-27.0;6.87;4.49;Pozitivno;Da
67;9.2;-22.7;7.17;6.59;Negativno;Da
68;10.6;-30.3;6.93;4.55;Pozitivno;Da
69;12.0;-14.7;7.39;5.48;Pozitivno;Da
70;11.2;-12.4;6.97;5.14;Pozitivno;Da
71;10.8;-21.9;6.83;5.71;Negativno;Da
72;14.8;-15.6;7.31;4.67;Pozitivno;Ne
73;13.9;-12.7;6.92;4.53;Negativno;Da
74;9.3;-25.5;7.06;5.79;Pozitivno;Da
75;10.6;-13.8;7.24;4.48;Pozitivno;Da
76;6.7;-16.2;6.7;5.41;Pozitivno;Da
77;10.1;-26.0;7.08;5.77;Pozitivno;Da
78;12.3;-14.5;6.84;4.55;Pozitivno;Ne
79;10.4;-11.9;6.89;4.93;Negativno;Da
80;8.4;-15.8;7.1;4.92;Pozitivno;Da
81;10.3;-26.1;7.34;5.26;Pozitivno;Ne
82;6.2;-24.1;6.87;5.2;Pozitivno;Da
83;6.2;-16.7;6.9;4.72;Pozitivno;Da
84;11.8;-11.2;7.32;4.93;Pozitivno;Da
85;14.5;-22.9;6.83;5.64;Pozitivno;Da
86;9.9;-29.8;7.04;4.39;Pozitivno;Da
87;7.7;-17.6;6.68;5.74;Pozitivno;Da
88;11.1;-21.6;6.6;5.19;Negativno;Da
89;7.9;-16.9;6.82;6.04;Pozitivno;Da
90;9.5;-23.8;6.82;4.88;Pozitivno;Da
91;10.3;-12.9;7.18;4.39;Pozitivno;Da
92;8.0;-12.5;7.11;5.49;Pozitivno;Da
93;12.1;-18.6;7.0;4.59;Pozitivno;Da
94;4.5;-18.6;6.84;4.99;Pozitivno;Ne
95;10.8;-23.0;6.88;5.23;Pozitivno;Ne
96;9.0;-20.2;7.23;4.58;Pozitivno;Da
97;10.5;-24.0;7.33;4.97;Pozitivno;Ne
98;8.9;-17.6;7.23;4.82;Pozitivno;Da
99;13.4;-10.0;7.08;4.77;Pozitivno;Da
100;6.8;-23.9;7.14;4.4;Pozitivno;Ne
101;9.4;-16.6;6.7;5.29;Negativno;Da
102;8.7;-22.8;7.13;5.09;Pozitivno;Da
103;7.7;-19.9;6.96;5.57;Pozitivno;Da
104;10.3;-25.2;7.14;5.61;Pozitivno;Da
105;7.0;-21.7;7.36;4.85;Pozitivno;Da
106;9.1;-14.3;7.19;4.5;Pozitivno;Da
107;9.1;-18.8;7.35;4.54;Pozitivno;Da
108;6.8;-18.9;6.96;5.24;Pozitivno;Da
109;10.2;-19.3;6.99;4.47;Pozitivno;Da
110;9.3;-27.8;6.8;5.04;Pozitivno;Da
111;12.7;-24.1;7.34;4.72;Negativno;Da
112;7.1;-19.5;6.87;5.2;Pozitivno;Da
113;14.0;-19.5;6.96;5.28;Pozitivno;Da
114;9.2;-15.2;6.32;5.42;Pozitivno;Da
115;12.4;-18.7;7.04;4.76;Pozitivno;Ne
116;12.4;-13.8;7.13;3.95;Pozitivno;Da
117;12.0;-15.1;7.43;5.0;Negativno;Da
118;10.4;-23.4;7.1;4.63;Pozitivno;Da
119;8.5;-17.1;6.96;4.76;Pozitivno;Ne
120;10.5;-27.3;6.96;5.13;Pozitivno;Da
121;10.6;-13.6;7.05;5.61;Pozitivno;Da
122;11.3;-22.5;7.02;4.27;Pozitivno;Ne
123;11.5;-6.1;6.92;4.98;Pozitivno;Da
124;10.9;-10.5;7.05;3.94;Pozitivno;Da
125;6.5;-13.8;7.3;4.88;Pozitivno;Da
126;9.3;-15.7;6.95;5.73;Pozitivno;Da
127;8.7;-22.0;7.06;4.61;Pozitivno;Ne
128;6.0;-22.8;6.97;4.29;Pozitivno;Ne
129;8.9;-20.0;7.02;4.77;Pozitivno;Ne
130;3.2;-19.1;7.52;5.63;Pozitivno;Da
131;7.2;-13.2;6.8;4.62;Pozitivno;Da
132;7.9;-25.7;6.94;5.24;Pozitivno;Da
133;8.1;-23.0;6.61;3.81;Pozitivno;Da
134;10.8;-29.4;7.07;5.51;Pozitivno;Da
135;12.4;-15.0;7.48;4.53;Negativno;Da
136;11.9;-20.8;6.72;4.69;Pozitivno;Da
137;9.2;-5.9;6.71;4.53;Negativno;Da
138;7.4;-15.1;7.09;5.18;Negativno;Da
139;12.0;-18.3;7.27;3.95;Pozitivno;Da
140;9.4;-18.4;7.07;5.57;Pozitivno;Da
141;15.1;-22.0;7.3;4.58;Pozitivno;Da
142;9.1;-18.2;6.88;5.11;Pozitivno;Da
143;9.4;-13.5;6.69;5.39;Pozitivno;Da
144;12.0;-18.3;7.37;6.43;Pozitivno;Da
145;8.2;-20.7;6.98;5.44;Pozitivno;Da
146;7.8;-33.5;6.88;5.07;Negativno;Da
147;6.5;-17.4;6.93;4.9;Pozitivno;Da
148;6.5;-21.4;6.78;5.09;Pozitivno;Da
149;11.1;-20.3;7.03;4.64;Pozitivno;Da
150;8.6;-19.9;7.06;5.11;Pozitivno;Da
151;7.4;-14.6;7.07;5.33;Pozitivno;Ne
152;7.9;-28.2;7.15;5.49;Pozitivno;Da
153;8.1;-17.5;7.27;5.74;Pozitivno;Da
154;13.6;-12.8;7.13;4.6;Pozitivno;Da
155;7.3;-19.8;7.08;4.75;Pozitivno;Da
156;8.3;-23.0;7.22;5.54;Pozitivno;Da
157;10.4;-21.3;7.13;5.12;Pozitivno;Da
158;9.9;-27.7;7.18;5.03;Pozitivno;Da
159;13.8;-20.4;6.73;5.46;Pozitivno;Da
160;10.7;-6.1;7.22;4.62;Pozitivno;Ne
161;9.7;-25.5;7.14;4.64;Pozitivno;Da
162;8.9;-18.5;6.83;5.33;Pozitivno;Da
163;10.7;-16.4;7.25;4.89;Pozitivno;Da
164;6.1;-18.1;6.99;5.31;Pozitivno;Da
165;9.1;-19.9;6.94;5.36;Pozitivno;Da
166;9.0;-18.0;6.95;4.65;Pozitivno;Da
167;9.5;-8.4;6.94;5.1;Pozitivno;Da
168;8.5;-26.2;6.8;4.98;Pozitivno;Da
169;11.1;-27.6;6.72;4.25;Pozitivno;Da
170;6.7;-21.2;6.76;4.6;Pozitivno;Da
171;8.4;-22.5;7.27;4.28;Pozitivno;Da
172;10.7;-16.6;6.95;5.2;Pozitivno;Da
173;12.2;-19.9;6.95;4.96;Pozitivno;Da
174;12.7;-21.4;6.59;4.73;Pozitivno;Da
175;9.4;-20.6;7.13;5.14;Pozitivno;Da
176;9.9;-21.4;6.95;5.9;Pozitivno;Da
177;10.0;-16.2;7.1;4.73;Pozitivno;Da
178;12.1;-17.4;6.95;4.51;Pozitivno;Da
179;10.8;-23.5;7.06;4.79;Pozitivno;Da
180;11.2;-18.4;6.88;4.24;Pozitivno;Da
181;12.1;-29.8;7.09;5.59;Pozitivno;Da
182;8.7;-29.5;7.26;4.88;Negativno;Da
183;8.7;-15.8;6.91;4.87;Pozitivno;Da
184;8.4;-16.6;6.87;4.29;Pozitivno;Da
185;7.1;-26.2;6.79;5.06;Negativno;Da
186;10.2;-14.5;7.01;5.65;Pozitivno;Da
187;12.0;-17.1;6.74;5.08;Pozitivno;Da
188;7.3;-17.8;6.75;5.14;Negativno;Da
189;11.6;-19.2;6.82;5.22;Pozitivno;Ne
190;11.7;-24.0;6.93;4.85;Pozitivno;Da
191;8.4;-28.7;6.87;4.93;Pozitivno;Da
192;10.1;-19.5;6.98;4.66;Negativno;Da
193;9.6;-14.7;6.89;4.55;Pozitivno;Ne
194;10.3;-17.6;7.06;5.17;Pozitivno;Da
195;8.6;-16.2;6.93;4.2;Negativno;Da
196;10.4;-30.0;6.57;5.29;Pozitivno;Da
197;9.9;-13.9;6.89;4.97;Pozitivno;Da
198;14.1;-22.0;7.1;4.87;Pozitivno;Ne
199;14.9;-19.5;6.79;5.85;Pozitivno;Da
200;8.3;-20.4;6.83;5.09;Pozitivno;Da
201;10.0;-13.9;6.87;4.38;Pozitivno;Ne
202;8.7;-21.2;6.67;4.34;Pozitivno;Ne
203;7.9;-25.6;6.71;4.89;Pozitivno;Da
204;11.7;-19.3;7.02;4.65;Pozitivno;Da
205;7.8;-21.2;7.07;4.5;Pozitivno;Da
206;5.5;-24.9;6.98;4.5;Pozitivno;Da
207;10.9;-24.3;7.19;5.61;Negativno;Da
208;9.0;-15.0;6.99;5.28;Pozitivno;Da
209;10.7;-11.0;6.94;4.86;Pozitivno;Da
210;8.0;-21.7;7.2;4.72;Pozitivno;Da
211;10.0;-24.9;6.76;4.85;Pozitivno;Da
212;7.6;-20.6;6.96;4.47;Pozitivno;Da
213;8.1;-17.7;6.93;4.65;Pozitivno;Da
214;11.3;-16.8;7.04;5.11;Pozitivno;Da
215;11.4;-16.5;7.17;5.33;Pozitivno;Da
216;12.1;-18.8;7.13;5.38;Pozitivno;Da
217;9.5;-26.3;7.19;4.7;Pozitivno;Da
218;13.5;-17.1;7.14;5.26;Pozitivno;Da
219;9.4;-5.9;7.1;4.68;Pozitivno;Ne
220;11.2;-28.6;6.69;4.6;Negativno;Da
221;9.6;-23.3;7.2;5.27;Pozitivno;Da
222;14.5;-20.6;7.01;4.29;Pozitivno;Da
223;10.2;-14.3;6.49;4.79;Pozitivno;Da
224;8.7;-20.0;7.03;5.33;Pozitivno;Da
225;9.1;-17.3;7.17;4.9;Pozitivno;Da
226;11.2;-20.6;6.91;4.62;Pozitivno;Da
227;16.3;-19.7;6.9;4.97;Pozitivno;Da
228;9.9;-21.6;7.19;4.7;Pozitivno;Da
229;9.4;-19.3;7.07;5.74;Pozitivno;Ne
230;7.9;-23.1;7.0;5.55;Pozitivno;Da
231;10.8;-16.7;7.13;4.5;Pozitivno;Da
232;8.4;-10.8;6.82;4.62;Pozitivno;Da
233;12.1;-21.9;6.69;5.57;Pozitivno;Ne
234;9.3;-18.4;6.51;4.41;Pozitivno;Da
235;12.3;-16.9;6.87;5.2;Pozitivno;Da
236;7.9;-14.5;7.18;4.9;Pozitivno;Da
237;10.4;-35.5;7.17;5.67;Pozitivno;Da
238;12.6;-22.6;7.09;4.93;Negativno;Da
239;11.5;-23.8;7.07;5.41;Pozitivno;Ne
240;9.0;-20.2;6.78;5.21;Pozitivno;Da
241;9.6;-21.5;7.17;4.32;Negativno;Da
242;10.4;-22.8;6.99;4.9;Negativno;Ne
243;10.5;-14.5;6.97;5.04;Pozitivno;Ne
244;8.7;-21.9;7.15;6.09;Pozitivno;Da
245;5.4;-19.7;7.14;5.56;Pozitivno;Ne
246;8.6;-28.0;7.12;4.85;Pozitivno;Da
247;10.1;-17.7;6.92;4.52;Pozitivno;Da
248;9.4;-28.1;6.56;4.23;Pozitivno;Da
249;11.6;-18.9;7.27;4.57;Pozitivno;Da
250;12.2;-17.1;6.97;5.45;Pozitivno;Ne
251;10.5;-19.0;7.25;3.44;Pozitivno;Ne
252;13.1;-22.6;7.08;4.49;Pozitivno;Ne
253;7.9;-24.1;6.87;3.82;Pozitivno;Da
254;16.9;-20.8;6.93;3.24;Pozitivno;Da
255;7.1;-15.5;7.26;4.85;Pozitivno;Da
256;14.0;-19.2;6.78;3.89;Pozitivno;Da
257;9.5;-20.8;6.79;4.36;Pozitivno;Da
258;12.6;-27.3;7.04;3.81;Pozitivno;Da
259;10.1;-11.6;6.88;4.25;Pozitivno;Ne
260;13.5;-20.0;7.07;3.68;Pozitivno;Da
261;12.4;-21.8;7.05;3.47;Pozitivno;Da
262;8.9;-15.1;7.4;3.36;Pozitivno;Ne
263;10.3;-22.3;7.38;4.23;Pozitivno;Da
264;10.7;-14.5;6.74;4.49;Negativno;Da
265;13.2;-25.4;6.69;3.96;Pozitivno;Da
266;13.3;-30.2;6.85;3.79;Pozitivno;Da
267;16.1;-30.2;7.05;3.81;Pozitivno;Da
268;12.8;-24.1;6.96;4.05;Pozitivno;Ne
269;16.5;-11.1;7.14;3.32;Pozitivno;Da
270;14.6;-18.1;7.05;3.7;Negativno;Ne
271;8.2;-17.7;7.23;3.87;Pozitivno;Da
272;15.5;-15.3;7.23;4.53;Pozitivno;Da
273;10.9;-8.3;6.97;3.63;Pozitivno;Da
274;12.7;-15.9;6.79;3.44;Pozitivno;Da
275;13.3;-17.8;7.13;3.9;Pozitivno;Da
276;5.2;-16.7;7.09;3.75;Pozitivno;Da
277;13.9;-22.7;7.3;3.17;Pozitivno;Da
278;8.3;-24.3;6.64;4.08;Pozitivno;Ne
279;5.8;-25.5;6.83;4.15;Pozitivno;Da
280;13.6;-14.2;7.07;3.64;Pozitivno;Da
281;10.0;-16.9;6.86;3.05;Pozitivno;Da
282;11.0;-17.0;7.01;3.77;Pozitivno;Da
283;13.4;-15.6;7.05;4.33;Pozitivno;Ne
284;12.8;-20.0;6.92;4.11;Pozitivno;Ne
285;4.5;-19.0;7.21;4.6;Pozitivno;Da
286;15.6;-17.7;7.03;4.32;Pozitivno;Da
287;11.8;-17.9;7.27;4.21;Pozitivno;Da
288;14.5;-19.6;6.99;4.53;Pozitivno;Da
289;7.4;-15.7;6.85;4.16;Pozitivno;Da
290;15.8;-22.7;6.7;3.97;Pozitivno;Da
291;8.6;-17.8;6.88;4.04;Pozitivno;Da
292;7.0;-24.8;7.12;4.1;Pozitivno;Ne
293;4.2;-21.3;7.1;4.69;Negativno;Da
294;15.8;-24.0;6.73;4.55;Pozitivno;Da
295;7.5;-17.0;6.99;3.72;Pozitivno;Da
296;13.2;-26.3;7.05;4.19;Pozitivno;Da
297;10.6;-17.8;7.16;3.94;Pozitivno;Da
298;11.0;-25.6;6.8;4.68;Pozitivno;Da
299;11.0;-20.0;6.74;4.23;Pozitivno;Da
300;12.5;-5.8;6.62;3.93;Pozitivno;Ne
301;14.4;-14.6;6.97;4.55;Pozitivno;Da
302;17.4;-18.9;6.97;4.47;Pozitivno;Ne
303;8.6;-28.2;7.0;4.58;Pozitivno;Da
304;11.5;-16.7;6.98;4.06;Pozitivno;Da
305;12.4;-23.4;6.95;3.64;Pozitivno;Da
306;14.5;-17.1;6.95;3.4;Pozitivno;Da
307;13.6;-28.2;6.95;4.17;Pozitivno;Da
308;14.2;-15.2;6.67;4.87;Pozitivno;Da
309;8.9;-9.5;6.88;5.06;Pozitivno;Da
310;10.8;-15.2;6.9;4.91;Pozitivno;Da
311;8.0;-25.0;6.6;4.15;Pozitivno;Da
312;13.1;-18.9;7.01;4.84;Negativno;Da
313;9.4;-19.5;6.93;3.57;Pozitivno;Da
314;12.1;-15.1;7.11;4.19;Pozitivno;Da
315;10.8;-13.0;6.75;3.8;Pozitivno;Da
316;12.8;-16.8;6.92;4.19;Pozitivno;Da
317;16.8;-33.1;7.27;3.89;Pozitivno;Da
318;9.9;-26.2;6.87;4.4;Pozitivno;Da
319;8.3;-11.2;6.71;3.84;Pozitivno;Da
320;11.3;-20.0;7.33;4.2;Pozitivno;Da
321;15.3;-19.1;6.74;4.18;Negativno;Da
322;12.2;-17.2;7.11;4.21;Pozitivno;Ne
323;10.3;-10.9;7.19;4.69;Pozitivno;Da
324;12.1;-20.4;7.32;4.06;Pozitivno;Da
325;6.7;-17.8;7.12;3.6;Pozitivno;Da
326;16.4;-19.9;6.99;3.8;Pozitivno;Da
327;13.7;-22.6;6.9;3.81;Pozitivno;Da
328;11.9;-20.8;7.19;3.96;Pozitivno;Da
329;11.1;-20.8;6.97;4.25;Pozitivno;Da
330;13.2;-24.4;6.99;3.96;Negativno;Da
331;8.4;-26.4;7.12;4.65;Pozitivno;Da
332;13.0;-17.5;6.87;4.32;Pozitivno;Da
333;17.1;-14.6;6.99;4.61;Pozitivno;Da
334;10.0;-20.4;7.12;3.49;Pozitivno;Da
335;7.5;-16.1;6.87;3.31;Pozitivno;Da
336;12.4;-19.1;7.21;4.97;Pozitivno;Da
337;6.6;-15.0;6.91;3.71;Pozitivno;Da
338;16.0;-11.1;7.53;3.53;Pozitivno;Da
339;17.8;-31.7;7.09;3.79;Pozitivno;Da
340;11.2;-20.1;6.93;3.63;Pozitivno;Da
341;12.8;-22.8;7.04;3.44;Pozitivno;Da
342;11.3;-13.2;7.1;3.47;Pozitivno;Ne
343;9.5;-29.1;7.14;4.11;Pozitivno;Ne
344;14.4;-22.9;7.0;4.78;Pozitivno;Da
345;12.0;-12.0;7.05;3.68;Pozitivno;Da
346;13.5;-19.1;7.24;2.64;Pozitivno;Da
347;12.8;-22.6;6.57;3.65;Pozitivno;Da
348;17.0;-22.1;7.08;5.01;Pozitivno;Da
349;18.0;-19.9;6.92;3.48;Pozitivno;Da
350;19.7;-20.2;7.01;3.94;Pozitivno;Da
351;7.7;-14.7;6.99;4.27;Pozitivno;Da
352;11.6;-20.1;6.91;5.32;Pozitivno;Da
353;8.2;-13.6;7.05;3.84;Pozitivno;Ne
354;13.7;-16.1;7.12;3.86;Pozitivno;Ne
355;9.2;-18.0;6.81;3.92;Negativno;Da
356;14.4;-12.6;7.6;3.52;Pozitivno;Da
357;15.2;-22.7;7.06;4.39;Pozitivno;Da
358;11.0;-26.6;6.7;4.58;Pozitivno;Ne
359;7.7;-15.3;6.94;5.08;Pozitivno;Ne
360;7.4;-16.1;6.97;4.08;Pozitivno;Ne
361;11.6;-19.2;7.16;3.51;Pozitivno;Ne
362;8.2;-27.9;6.77;3.87;Pozitivno;Ne
363;11.5;-23.9;7.47;4.09;Negativno;Da
364;7.4;-25.4;7.28;3.69;Pozitivno;Da
365;14.6;-15.5;7.07;4.53;Pozitivno;Da
366;8.0;-23.0;6.91;3.77;Pozitivno;Da
367;10.6;-15.6;6.93;4.16;Negativno;Ne
368;9.8;-24.0;7.06;3.94;Negativno;Da
369;11.4;-24.8;6.69;3.66;Pozitivno;Da
370;8.8;-17.1;7.13;3.49;Pozitivno;Da
371;9.6;-19.9;6.94;4.69;Negativno;Da
372;12.8;-15.5;6.81;3.65;Pozitivno;Da
373;15.9;-12.8;6.9;4.22;Pozitivno;Da
374;14.2;-15.9;7.06;2.8;Pozitivno;Da
375;9.6;-27.6;6.88;4.58;Pozitivno;Da
376;20.8;-17.1;6.98;4.67;Pozitivno;Da
377;13.3;-13.7;7.19;3.85;Pozitivno;Da
378;9.8;-25.9;7.19;4.14;Pozitivno;Da
379;11.0;-15.2;6.57;4.11;Pozitivno;Da
380;7.8;-15.9;7.17;4.03;Negativno;Da
381;11.9;-21.7;7.19;3.63;Negativno;Da
382;5.3;-24.7;7.0;3.94;Pozitivno;Ne
383;12.7;-17.9;7.24;3.61;Pozitivno;Da
384;17.2;-22.4;7.12;4.14;Pozitivno;Da
385;11.5;-16.5;6.76;4.11;Negativno;Da
386;7.2;-26.2;6.82;3.66;Pozitivno;Da
387;15.7;-14.6;6.75;3.73;Pozitivno;Da
388;14.3;-17.4;6.99;3.51;Pozitivno;Da
389;12.9;-21.6;7.24;4.01;Pozitivno;Ne
390;10.7;-17.0;6.85;3.68;Pozitivno;Da
391;11.0;-18.3;7.05;3.72;Pozitivno;Da
392;16.0;-19.8;6.84;3.67;Pozitivno;Da
393;15.7;-12.7;7.0;4.93;Pozitivno;Da
394;9.5;-27.0;7.23;4.75;Pozitivno;Da
395;15.0;-18.6;7.12;3.31;Negativno;Da
396;9.6;-28.0;6.88;3.38;Pozitivno;Da
397;10.4;-25.2;7.05;5.23;Pozitivno;Ne
398;14.2;-9.0;6.93;4.02;Pozitivno;Ne
399;13.6;-18.5;6.79;4.14;Pozitivno;Da
400;5.3;-15.7;6.64;4.32;Pozitivno;Da
401;13.6;-30.8;7.28;4.42;Negativno;Da
402;12.1;-18.9;6.89;4.28;Pozitivno;Ne
403;6.1;-24.8;6.61;3.98;Pozitivno;Da
404;10.4;-18.4;7.23;4.09;Pozitivno;Da
405;14.7;-22.6;7.14;4.94;Pozitivno;Da
406;15.0;-24.3;6.92;3.4;Pozitivno;Da
407;8.0;-18.0;6.86;3.66;Pozitivno;Da
408;13.5;-12.9;7.2;3.91;Negativno;Da
409;13.4;-20.4;6.79;4.19;Pozitivno;Da
410;16.0;-27.5;6.79;4.21;Pozitivno;Da
411;13.7;-18.9;6.94;3.65;Pozitivno;Da
412;12.5;-25.5;6.79;3.69;Pozitivno;Ne
413;11.4;-11.0;7.36;3.75;Pozitivno;Da
414;13.6;-30.1;6.61;4.5;Pozitivno;Da
415;11.2;-28.6;7.58;3.74;Pozitivno;Da
416;14.2;-20.0;7.19;4.32;Pozitivno;Da
417;11.0;-19.9;6.86;4.82;Pozitivno;Da
418;14.9;-11.0;7.15;3.99;Pozitivno;Da
419;14.4;-28.7;7.3;4.63;Pozitivno;Da
420;9.4;-12.6;6.94;4.14;Pozitivno;Ne
421;15.5;-19.6;6.78;3.41;Pozitivno;Ne
422;15.6;-12.8;6.96;4.09;Pozitivno;Ne
423;10.3;-9.9;7.27;3.63;Pozitivno;Da
424;15.7;-28.7;7.19;4.56;Pozitivno;Da
425;8.3;-25.0;7.07;4.28;Pozitivno;Da
426;17.4;-28.1;7.29;4.35;Pozitivno;Da
427;14.3;-14.4;6.98;4.35;Pozitivno;Da
428;11.4;-20.5;7.07;3.49;Pozitivno;Da
429;8.1;-25.8;6.74;3.72;Pozitivno;Da
430;12.4;-21.6;7.26;4.57;Pozitivno;Da
431;8.2;-20.7;6.92;4.42;Pozitivno;Da
432;12.1;-17.9;7.07;3.71;Negativno;Ne
433;12.4;-22.3;7.17;3.77;Pozitivno;Da
434;12.3;-21.7;7.09;4.25;Pozitivno;Ne
435;8.8;-15.1;7.2;3.39;Pozitivno;Da
436;12.9;-14.5;6.59;4.67;Pozitivno;Da
437;12.7;-14.3;6.75;3.6;Pozitivno;Da
438;15.0;-27.1;6.9;4.31;Pozitivno;Ne
439;15.5;-22.5;7.08;3.92;Pozitivno;Ne
440;9.4;-20.7;6.9;3.89;Pozitivno;Da
441;15.4;-18.4;6.9;3.06;Pozitivno;Da
442;15.0;-27.2;7.15;3.31;Pozitivno;Da
443;12.4;-16.5;7.02;3.5;Pozitivno;Da
444;15.0;-16.5;7.22;3.82;Pozitivno;Da
445;13.5;-29.1;7.09;4.24;Pozitivno;Da
446;11.3;-28.4;6.89;4.67;Pozitivno;Da
447;10.9;-26.1;7.11;4.22;Pozitivno;Da
448;9.0;-9.7;7.04;4.49;Negativno;Da
449;5.0;-17.3;6.8;4.16;Pozitivno;Da
450;8.3;-15.4;6.81;3.99;Pozitivno;Da
451;14.8;-24.7;6.62;3.32;Pozitivno;Ne
452;12.4;-26.1;7.04;4.17;Pozitivno;Ne
453;22.4;-19.5;6.9;2.85;Pozitivno;Da
454;23.1;-22.8;6.98;3.84;Pozitivno;Da
455;27.9;-18.8;7.03;3.57;Pozitivno;Da
456;13.3;-26.0;6.91;3.37;Pozitivno;Da
457;20.7;-19.7;6.81;4.04;Pozitivno;Da
458;20.6;-17.9;6.75;4.26;Pozitivno;Da
459;16.4;-18.6;6.69;3.01;Pozitivno;Da
460;34.6;-23.0;7.3;4.18;Pozitivno;Ne
461;25.1;-18.0;7.43;3.04;Pozitivno;Da
462;16.5;-16.3;7.09;3.66;Pozitivno;Da
463;21.7;-10.4;7.33;4.0;Pozitivno;Da
464;21.2;-24.4;7.25;3.95;Pozitivno;Ne
465;24.5;-28.7;7.05;2.42;Pozitivno;Ne
466;27.9;-18.3;7.04;3.8;Pozitivno;Da
467;18.8;-23.1;7.18;4.11;Pozitivno;Ne
468;14.8;-21.4;7.16;3.24;Pozitivno;Da
469;25.8;-17.0;7.08;3.73;Pozitivno;Da
470;20.9;-18.0;6.75;2.87;Pozitivno;Ne
471;22.6;-25.7;7.29;4.36;Pozitivno;Da
472;22.6;-24.3;7.31;2.49;Pozitivno;Da
473;14.9;-14.3;7.18;4.46;Pozitivno;Da
474;24.5;-20.3;7.07;3.71;Pozitivno;Da
475;25.4;-10.3;6.91;4.02;Pozitivno;Da
476;24.3;-6.8;7.12;3.55;Negativno;Da
477;20.9;-8.5;7.09;3.25;Pozitivno;Da
478;20.7;-19.8;7.18;2.42;Pozitivno;Da
